action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
buy,1,13752.26,long,0.7264260565172561,10000.0,100,10.0,2020-10-31 09:00:00,9990.0,0.7264260565172561,0
sell,1,14439.87,long,0.7264260565172561,10000.0,100,10.489997818540372,2020-11-05 07:00:00,10479.507820721832,0.0,0
buy,2,14439.87,long,0.7250084878119477,10479.507820721832,100,10.479507820721832,2020-11-05 07:00:00,10469.02831290111,0.7250084878119477,0
sell,2,15161.86,long,0.7250084878119477,10479.507820721832,100,10.993001163867424,2020-11-05 16:00:00,10982.008162703556,0.0,0
buy,3,15161.86,long,0.7235936853750695,10982.008162703556,100,10.982008162703556,2020-11-05 16:00:00,10971.026154540852,0.7235936853750695,0
sell,3,15919.95,long,0.7235936853750695,10982.008162703556,100,11.52012438972202,2020-11-06 00:00:00,11508.604265332297,0.0,0
buy,4,15919.95,long,0.7221816438535902,11508.604265332297,100,11.508604265332297,2020-11-06 00:00:00,11497.095661066964,0.7221816438535902,0
sell,4,16715.95,long,0.7221816438535902,11508.604265332297,100,12.072527681594952,2020-11-16 17:00:00,12060.455153913355,0.0,0
buy,5,16715.95,long,0.720772358062775,12060.455153913355,100,12.060455153913356,2020-11-16 17:00:00,12048.394698759443,0.720772358062775,0
sell,5,17551.75,long,0.720772358062775,12060.455153913355,100,12.651419260189737,2020-11-17 16:00:00,12638.767840929548,0.0,0
buy,6,17551.75,long,0.7193658223874324,12638.767840929548,100,12.638767840929548,2020-11-17 16:00:00,12626.129073088618,0.7193658223874324,0
sell,6,18429.34,long,0.7193658223874324,12638.767840929548,100,13.258069265349867,2020-11-18 04:00:00,13244.811196084516,0.0,0
buy,7,18429.34,long,0.717962031461161,13244.811196084516,100,13.244811196084516,2020-11-18 04:00:00,13231.566384888432,0.717962031461161,0
sell,7,19350.81,long,0.717962031461161,13244.811196084516,100,13.893809100734796,2020-11-24 14:00:00,13879.91529163406,0.0,0
buy,8,19350.81,long,0.7165609799456677,13879.91529163406,100,13.879915291634061,2020-11-24 14:00:00,13866.035376342426,0.7165609799456677,0
sell,8,20318.35,long,0.7165609799456677,13879.91529163406,100,14.560030782284999,2020-12-16 13:00:00,14545.470751502715,0.0,0
buy,9,20318.35,long,0.7151626623594541,14545.470751502715,100,14.545470751502716,2020-12-16 13:00:00,14530.925280751213,0.7151626623594541,0
sell,9,21334.27,long,0.7151626623594541,14545.470751502715,100,15.258200608022705,2020-12-16 22:00:00,15242.942407414681,0.0,0
buy,10,21334.27,long,0.7137670735866409,15242.942407414681,100,15.24294240741468,2020-12-16 22:00:00,15227.699465007267,0.7137670735866409,0
sell,10,22400.98,long,0.7137670735866409,15242.942407414681,100,15.989844084692555,2020-12-17 07:00:00,15973.854240607863,0.0,0
buy,11,22400.98,long,0.7123742080197945,15973.854240607863,100,15.973854240607864,2020-12-17 07:00:00,15957.880386367255,0.7123742080197945,0
sell,11,23521.03,long,0.7123742080197945,15973.854240607863,100,16.756573811484945,2020-12-17 09:00:00,16739.81723767346,0.0,0
buy,12,23521.03,long,0.7109840606655314,16739.81723767346,100,16.73981723767346,2020-12-17 09:00:00,16723.077420435784,0.7109840606655314,0
sell,12,24697.08,long,0.7109840606655314,16739.81723767346,100,17.560067214775824,2020-12-25 23:00:00,17542.507147561046,0.0,0
buy,13,24697.08,long,0.7095966260146334,17542.507147561046,100,17.542507147561047,2020-12-25 23:00:00,17524.964640413484,0.7095966260146334,0
sell,13,25931.93,long,0.7095966260146334,17542.507147561046,100,18.402087156563802,2020-12-26 17:00:00,18383.68506940724,0.0,0
buy,14,25931.93,long,0.7082118987803002,18383.68506940724,100,18.38368506940724,2020-12-26 17:00:00,18365.301384337832,0.7082118987803002,0
sell,14,27228.53,long,0.7082118987803002,18383.68506940724,100,19.284488119031064,2020-12-27 06:00:00,19265.20363091203,0.0,0
buy,15,27228.53,long,0.7068298739330078,19265.20363091203,100,19.26520363091203,2020-12-27 06:00:00,19245.93842728112,0.7068298739330078,0
sell,15,28589.96,long,0.7068298739330078,19265.20363091203,100,20.20920108520766,2020-12-30 19:00:00,20188.991884122453,0.0,0
buy,16,28589.96,long,0.7054505460042033,20188.991884122453,100,20.188991884122455,2020-12-30 19:00:00,20168.80289223833,0.7054505460042033,0
sell,16,30019.46,long,0.7054505460042033,20188.991884122453,100,21.17825389875786,2021-01-02 12:00:00,21157.075644859102,0.0,0
