unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1.69525E+12,21/09/2023 00:00,BTC/EUR,25538.31,25999.99,24831.93,24954.76,1.42538418,35570.12012
1.69517E+12,20/09/2023 00:00,BTC/EUR,25447.73,25615.26,25208.32,25538.31,1.59544361,40744.9335
1.69508E+12,19/09/2023 00:00,BTC/EUR,25083.92,25721.67,24981.8,25447.73,1.74610917,44434.51471
1.695E+12,18/09/2023 00:00,BTC/EUR,24843.06,25710.68,24827.09,25083.92,1.27111842,31884.63276
1.69491E+12,17/09/2023 00:00,BTC/EUR,24923.36,25081.4,24831.93,24843.06,0.43573852,10825.0782
1.69482E+12,16/09/2023 00:00,BTC/EUR,25057.08,25064.2,24881.31,24923.36,0.67979554,16942.78897
1.69474E+12,15/09/2023 00:00,BTC/EUR,25029.41,25245.29,24647.27,25057.08,2.4242014,60743.40842
1.69465E+12,14/09/2023 00:00,BTC/EUR,24467.75,25232.79,24387.69,25029.41,2.46533732,61705.93857
1.69456E+12,13/09/2023 00:00,BTC/EUR,24023.56,24558.71,23997.51,24467.75,1.35387845,33126.35944
1.69448E+12,12/09/2023 00:00,BTC/EUR,23413.73,24706.93,23413.73,24023.56,1.52527106,36642.44083
1.69439E+12,11/09/2023 00:00,BTC/EUR,24181,24181,23300,23413.73,0.26817595,6278.999286
1.6943E+12,10/09/2023 00:00,BTC/EUR,24204.84,24264.92,23948.61,24181,1.4351126,34702.45778
1.69422E+12,09/09/2023 00:00,BTC/EUR,24238.18,24238.18,24167.6,24204.84,0.25345045,6134.72759
1.69413E+12,08/09/2023 00:00,BTC/EUR,24488.23,24538.24,24010,24238.18,0.38800467,9404.527032
1.69404E+12,07/09/2023 00:00,BTC/EUR,24002.39,24999.98,24002.39,24488.23,1.60730926,39360.15884
1.69396E+12,06/09/2023 00:00,BTC/EUR,24047.46,24495.1,23840.33,24002.39,0.80207417,19251.69704
1.69387E+12,05/09/2023 00:00,BTC/EUR,23899.1,24435.11,23750,24047.46,0.5202588,12510.90268
1.69379E+12,04/09/2023 00:00,BTC/EUR,24116.61,24451,23856.18,23899.1,0.51040947,12198.32696
1.6937E+12,03/09/2023 00:00,BTC/EUR,24495,24495,24006.44,24116.61,0.22261298,5368.67042
1.69361E+12,02/09/2023 00:00,BTC/EUR,24471.06,24495,23924.1,24495,0.36870231,9031.363083
1.69353E+12,01/09/2023 00:00,BTC/EUR,23968.43,24498,23520,24471.06,1.96017022,47967.44306
1.69344E+12,31/08/2023 00:00,BTC/EUR,25474.37,25999.99,23850,23968.43,4.01004603,96114.50757
1.69335E+12,30/08/2023 00:00,BTC/EUR,25466.37,25474.37,24796.97,25474.37,2.79423975,71181.49726
1.69327E+12,29/08/2023 00:00,BTC/EUR,24038.14,25973.71,24038.14,25466.37,3.22417622,82108.06456
1.69318E+12,28/08/2023 00:00,BTC/EUR,24160.31,24266.39,23978.17,24038.14,0.69513482,16709.74812
1.69309E+12,27/08/2023 00:00,BTC/EUR,24130.68,24475.49,24089.43,24160.31,0.04774237,1153.470459
1.69301E+12,26/08/2023 00:00,BTC/EUR,23850.01,24169.65,23850.01,24130.68,0.14544412,3509.665518
1.69292E+12,25/08/2023 00:00,BTC/EUR,24271.26,24750,23850.01,23850.01,4.79731184,114415.9354
1.69284E+12,24/08/2023 00:00,BTC/EUR,24378.39,24481.34,24010,24271.26,2.10464293,51082.33576
