action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
buy,1,13510.63,long,0.7394177769652489,10000.0,100,10.0,2020-10-31 04:00:00,9990.0,0.7394177769652489,0
sell,1,14186.16,long,0.7394177769652489,10000.0,100,10.489998889763097,2020-11-04 17:00:00,10479.508890873334,0.0,0
buy,2,14186.16,long,0.7379748559146704,10479.508890873334,100,10.479508890873335,2020-11-04 17:00:00,10469.02938198246,0.7379748559146704,0
sell,2,14895.47,long,0.7379748559146704,10479.508890873334,100,10.993006303953266,2020-11-05 12:00:00,10982.013297649311,0.0,0
buy,3,14895.47,long,0.7365347507901169,10982.013297649311,100,10.982013297649312,2020-11-05 12:00:00,10971.031284351662,0.7365347507901169,0
sell,3,15640.24,long,0.7365347507901169,10982.013297649311,100,11.520129368782047,2020-11-05 23:00:00,11508.609239413265,0.0,0
buy,4,15640.24,long,0.7350974556767575,11508.609239413265,100,11.508609239413264,2020-11-05 23:00:00,11497.10063017385,0.7350974556767575,0
sell,4,16422.25,long,0.7350974556767575,11508.609239413265,100,12.072529620477935,2020-11-13 00:00:00,12060.457090857457,0.0,0
buy,5,16422.25,long,0.7336629654137892,12060.457090857457,100,12.060457090857458,2020-11-13 00:00:00,12048.396633766599,0.7336629654137892,0
sell,5,17243.36,long,0.7336629654137892,12060.457090857457,100,12.651417652316065,2020-11-17 15:00:00,12638.766234663748,0.0,0
buy,6,17243.36,long,0.7322312744400792,12638.766234663748,100,12.638766234663748,2020-11-17 15:00:00,12626.127468429084,0.7322312744400792,0
sell,6,18105.53,long,0.7322312744400792,12638.766234663748,100,13.258067246090748,2020-11-18 04:00:00,13244.809178844658,0.0,0
buy,7,18105.53,long,0.7308023774871995,13244.809178844658,100,13.244809178844658,2020-11-18 04:00:00,13231.564369665814,0.7308023774871995,0
sell,7,19010.81,long,0.7308023774871995,13244.809178844658,100,13.89380738897674,2020-11-24 09:00:00,13879.913581587762,0.0,0
buy,8,19010.81,long,0.729376268975713,13879.913581587762,100,13.879913581587761,2020-11-24 09:00:00,13866.033668006174,0.729376268975713,0
sell,8,19961.35,long,0.729376268975713,13879.913581587762,100,14.560028982032371,2020-12-16 13:00:00,14545.468953050338,0.0,0
buy,9,19961.35,long,0.7279529432677293,14545.468953050338,100,14.545468953050339,2020-12-16 13:00:00,14530.923484097288,0.7279529432677293,0
sell,9,20959.42,long,0.7279529432677293,14545.468953050338,100,15.258198753453867,2020-12-16 21:00:00,15242.940554700412,0.0,0
buy,10,20959.42,long,0.7265323951781926,15242.940554700412,100,15.242940554700413,2020-12-16 21:00:00,15227.69761414571,0.7265323951781926,0
sell,10,22007.39,long,0.7265323951781926,15242.940554700412,100,15.989843914621078,2020-12-17 02:00:00,15973.854070706457,0.0,0
buy,11,22007.39,long,0.7251146190727638,15973.854070706457,100,15.973854070706457,2020-12-17 02:00:00,15957.880216635751,0.7251146190727638,0
sell,11,23107.76,long,0.7251146190727638,15973.854070706457,100,16.756573283091303,2020-12-17 09:00:00,16739.816709808212,0.0,0
buy,12,23107.76,long,0.7236996097024725,16739.816709808212,100,16.739816709808213,2020-12-17 09:00:00,16723.076893098405,0.7236996097024725,0
sell,12,24263.15,long,0.7236996097024725,16739.816709808212,100,17.560069177436887,2020-12-20 20:00:00,17542.509108259448,0.0,0
buy,13,24263.15,long,0.7222873616637242,17542.509108259448,100,17.54250910825945,2020-12-20 20:00:00,17524.96659915119,0.7222873616637242,0
sell,13,25476.31,long,0.7222873616637242,17542.509108259448,100,18.402093862090094,2020-12-26 15:00:00,18383.691768228004,0.0,0
buy,14,25476.31,long,0.7208778695368275,18383.691768228004,100,18.383691768228005,2020-12-26 15:00:00,18365.308076459776,0.7208778695368275,0
sell,14,26750.13,long,0.7208778695368275,18383.691768228004,100,19.284495912068788,2020-12-26 21:00:00,19265.21141615672,0.0,0
buy,15,26750.13,long,0.7194711279810813,19265.21141615672,100,19.26521141615672,2020-12-26 21:00:00,19245.94620474056,0.7194711279810813,0
sell,15,28087.64,long,0.7194711279810813,19265.21141615672,100,20.209209296218013,2020-12-27 11:00:00,20189.000086921795,0.0,0
buy,16,28087.64,long,0.7180671315509197,20189.000086921795,100,20.189000086921794,2020-12-27 11:00:00,20168.811086834874,0.7180671315509197,0
sell,16,29492.02,long,0.7180671315509197,20189.000086921795,100,21.17825965360913,2021-01-01 01:00:00,21157.08139395552,0.0,0
buy,17,29492.02,long,0.716665874787877,21157.08139395552,100,21.15708139395552,2021-01-01 01:00:00,21135.924312561565,0.716665874787877,0
sell,17,30966.62,long,0.716665874787877,21157.08139395552,100,22.19377766487608,2021-01-02 12:00:00,22171.583887211204,0.0,0
buy,18,30966.62,long,0.715267352501629,22171.583887211204,100,22.171583887211202,2021-01-02 12:00:00,22149.412303323992,0.715267352501629,0
sell,18,32514.95,long,0.715267352501629,22171.583887211204,100,23.257990781701217,2021-01-02 16:00:00,23234.732790919516,0.0,0
buy,19,32514.95,long,0.7138715593328175,23234.732790919516,100,23.234732790919516,2021-01-02 16:00:00,23211.498058128596,0.7138715593328175,0
sell,19,34140.7,long,0.7138715593328175,23234.732790919516,100,24.373236484139934,2021-01-03 05:00:00,24348.86324765579,0.0,0
buy,20,34140.7,long,0.7124784900253404,24348.86324765579,100,24.348863247655792,2021-01-03 05:00:00,24324.514384408136,0.7124784900253404,0
sell,20,35847.74,long,0.7124784900253404,24348.86324765579,100,25.541961112749334,2021-01-06 04:00:00,25516.419151636583,0.0,0
buy,21,35847.74,long,0.7110881392379254,25516.419151636583,100,25.516419151636583,2021-01-06 04:00:00,25490.902732484945,0.7110881392379254,0
sell,21,37640.13,long,0.7110881392379254,25516.419151636583,100,26.76672582546659,2021-01-07 03:00:00,26739.959099641124,0.0,0
buy,22,37640.13,long,0.7097005015801349,26739.959099641124,100,26.739959099641126,2021-01-07 03:00:00,26713.21914054148,0.7097005015801349,0
sell,22,39522.14,long,0.7097005015801349,26739.959099641124,100,28.05021958196173,2021-01-07 16:00:00,28022.16936237977,0.0,0
buy,23,39522.14,long,0.7083155718039912,28022.16936237977,100,28.02216936237977,2021-01-07 16:00:00,27994.14719301739,0.7083155718039912,0
sell,23,41498.25,long,0.7083155718039912,28022.16936237977,100,29.39525778821017,2021-01-08 11:00:00,29365.862530421957,0.0,0
buy,24,41498.25,long,0.7069333446083036,29365.862530421957,100,29.365862530421957,2021-01-08 11:00:00,29336.496667891533,0.7069333446083036,0
sell,24,43573.16,long,0.7069333446083036,29365.862530421957,100,30.804788025310174,2021-02-08 13:00:00,30773.98323728486,0.0,0
buy,25,43573.16,long,0.7055538146429493,30773.98323728486,100,30.773983237284863,2021-02-08 13:00:00,30743.209254047575,0.7055538146429493,0
sell,25,45751.82,long,0.7055538146429493,30773.98323728486,100,32.281909828431964,2021-02-08 23:00:00,32249.627918603535,0.0,0
buy,26,45751.82,long,0.7041769767997192,32249.627918603535,100,32.24962791860354,2021-02-08 23:00:00,32217.37829068493,0.7041769767997192,0
sell,26,48039.41,long,0.7041769767997192,32249.627918603535,100,33.82985898173325,2021-02-09 06:00:00,33796.02912275152,0.0,0
buy,27,48039.41,long,0.7028028257139037,33796.02912275152,100,33.79602912275152,2021-02-09 06:00:00,33762.23309362877,0.7028028257139037,0
sell,27,50441.38,long,0.7028028257139037,33796.02912275152,100,35.45203419801318,2021-02-16 12:00:00,35416.58216381517,0.0,0
buy,28,50441.38,long,0.7014313561930969,35416.58216381517,100,35.41658216381517,2021-02-16 12:00:00,35381.16558165135,0.7014313561930969,0
sell,28,52963.45,long,0.7014313561930969,35416.58216381517,100,37.151995391975596,2021-02-19 14:00:00,37114.843396583616,0.0,0
buy,29,52963.45,long,0.700062563016326,37114.843396583616,100,37.114843396583616,2021-02-19 14:00:00,37077.72855318703,0.700062563016326,0
sell,29,55611.62,long,0.700062563016326,37114.843396583616,100,38.9334689711079,2021-02-19 19:00:00,38894.53550213679,0.0,0
buy,30,55611.62,long,0.698696440899126,38894.53550213679,100,38.89453550213679,2021-02-19 19:00:00,38855.64096663465,0.698696440899126,0
sell,30,58392.2,long,0.698696440899126,38894.53550213679,100,40.80036704234565,2021-02-21 19:00:00,40759.56667530331,0.0,0
buy,31,58392.2,long,0.6973329846902155,40759.56667530331,100,40.75956667530331,2021-02-21 19:00:00,40718.807108628,0.6973329846902155,0
sell,31,61311.81,long,0.6973329846902155,40759.56667530331,100,42.75678544239317,2021-03-13 20:00:00,42714.02865695078,0.0,0
buy,32,61311.81,long,0.6959721891800916,42714.02865695078,100,42.71402865695078,2021-03-13 20:00:00,42671.31462829383,0.6959721891800916,0
sell,32,64377.4,long,0.6959721891800916,42714.02865695078,100,44.807015712806944,2021-04-14 05:00:00,44762.20869709413,0.0,0
buy,33,64377.4,long,0.694614049160063,44762.20869709413,100,44.76220869709413,2021-04-14 05:00:00,44717.446488397036,0.694614049160063,0
sell,33,67596.27,long,0.694614049160063,44762.20869709413,100,46.95555692325175,2021-11-08 23:00:00,46908.60136632849,0.0,0
buy,34,67596.27,long,0.6932585594584163,46908.60136632849,100,46.90860136632849,2021-11-08 23:00:00,46861.692764962165,0.6932585594584163,0
sell,34,26584.81,long,0.6932585594584163,46908.60136632849,100,18.401687078389127,2023-09-21 22:00:00,18383.28539131074,0.0,0
