Buy/Sell,Trade Number,Price,Type,Base amount,Quote amount,Trading Fee,Date,Balance,Base Amount,Quote Amount
Buy,1,11833.46,Long,0.8442,9990.0,10.0,2020-10-31 10:00:00,9990.0,,
Sell,1,12425.13,Long,,,10.49,2020-11-05 12:00:00,10479.01,0.8434,10479.01
Buy,2,12425.13,Long,0.8425,10468.53,10.48,2020-11-05 12:00:00,10468.53,,
Sell,2,13046.39,Long,,,10.99,2020-11-05 23:00:00,10980.97,0.8417,10980.97
Buy,3,13046.39,Long,0.8408,10969.99,10.98,2020-11-05 23:00:00,10969.99,,
Sell,3,13698.71,Long,,,11.52,2020-11-12 23:00:00,11506.97,0.84,11506.97
Buy,4,13698.71,Long,0.8392,11495.46,11.51,2020-11-12 23:00:00,11495.46,,
Sell,4,14383.65,Long,,,12.07,2020-11-17 15:00:00,12058.16,0.8383,12058.16
Buy,5,14383.65,Long,0.8375,12046.1,12.06,2020-11-17 15:00:00,12046.1,,
Sell,5,15102.83,Long,,,12.65,2020-11-18 09:00:00,12635.76,0.8366,12635.76
Buy,6,15102.83,Long,0.8358,12623.12,12.64,2020-11-18 09:00:00,12623.12,,
Sell,6,15857.97,Long,,,13.25,2020-11-21 16:00:00,13241.03,0.835,13241.03
Buy,7,15857.97,Long,0.8341,13227.79,13.24,2020-11-21 16:00:00,13227.79,,
Sell,7,16650.87,Long,,,13.89,2020-12-16 14:00:00,13875.29,0.8333,13875.29
Buy,8,16650.87,Long,0.8325,13861.410000000002,13.88,2020-12-16 14:00:00,13861.410000000002,,
Sell,8,17483.41,Long,,,14.55,2020-12-16 22:00:00,14539.93,0.8316,14539.93
Buy,9,17483.41,Long,0.8308,14525.39,14.54,2020-12-16 22:00:00,14525.39,,
Sell,9,18357.58,Long,,,15.25,2020-12-17 07:00:00,15236.41,0.83,15236.41
Buy,10,18357.58,Long,0.8291,15221.17,15.24,2020-12-17 07:00:00,15221.17,,
Sell,10,19275.46,Long,,,15.98,2020-12-17 09:00:00,15966.25,0.8283,15966.25
Buy,11,19275.46,Long,0.8275,15950.28,15.97,2020-12-17 09:00:00,15950.28,,
Sell,11,20239.23,Long,,,16.75,2020-12-26 02:00:00,16731.04,0.8267,16731.04
Buy,12,20239.23,Long,0.8258,16714.31,16.73,2020-12-26 02:00:00,16714.31,,
Sell,12,21251.19,Long,,,17.55,2020-12-26 20:00:00,17532.48,0.825,17532.48
Buy,13,21251.19,Long,0.8242,17514.95,17.53,2020-12-26 20:00:00,17514.95,,
Sell,13,22313.75,Long,,,18.39,2020-12-27 06:00:00,18372.31,0.8234,18372.31
