Buy/Sell,Trade Number,Price,Type,Base amount,Quote amount,Trading Fee,Date,Balance,Base Amount,Quote Amount
Buy,1,9275.25,Short,1.0781,9990.0,10.0,2019-11-04 20:00:00,9990.0,,
Sell,1,9222.05,Short,,,10.05,2019-11-07 10:00:00,10037.58,1.0833,10037.58
Buy,2,9222.05,Long,1.0884,10027.54,10.04,2019-11-07 10:00:00,10027.54,,
Sell,2,9017.01,Long,,,9.81,2019-11-10 17:00:00,9804.6,1.1132,9804.6
Buy,3,9017.01,Short,1.0873,9794.8,9.8,2019-11-10 17:00:00,9794.8,,
Sell,3,8757.37,Short,,,10.1,2019-11-11 09:00:00,10085.19,1.1196,10085.19
Buy,4,8757.37,Long,1.1516,10075.1,10.09,2019-11-11 09:00:00,10075.1,,
Sell,4,7321.93,Long,,,8.43,2019-11-27 16:00:00,8423.67,1.3774,8423.67
Buy,5,7321.93,Short,1.1505,8415.25,8.42,2019-11-27 16:00:00,8415.25,,
Sell,5,7487.46,Short,,,8.24,2019-12-01 01:00:00,8229.2,1.125,8229.2
Buy,6,7487.46,Long,1.0991,8220.97,8.23,2019-12-01 01:00:00,8220.97,,
Sell,6,7226.88,Long,,,7.94,2019-12-04 13:00:00,7934.87,1.1387,7934.87
Buy,7,7226.88,Short,1.098,7926.94,7.93,2019-12-04 13:00:00,7926.94,,
Sell,7,7373.79,Short,,,7.78,2019-12-09 20:00:00,7769.0,1.0761,7769.0
Buy,8,7373.79,Long,1.0536,7761.23,7.77,2019-12-09 20:00:00,7761.23,,
Sell,8,6868.08,Long,,,7.24,2019-12-18 19:00:00,7228.95,1.1312,7228.95
Buy,9,6868.08,Short,1.0525,7221.72,7.23,2019-12-18 19:00:00,7221.72,,
Sell,9,7179.92,Short,,,6.91,2019-12-25 16:00:00,6908.07,1.0068,6908.07
Buy,10,7179.92,Long,0.9621,6901.16,6.91,2019-12-25 16:00:00,6901.16,,
Sell,10,7310.1,Long,,,7.03,2019-12-26 17:00:00,7026.29,0.945,7026.29
Buy,11,7310.1,Short,0.9612,7019.26,7.03,2019-12-26 17:00:00,7019.26,,
Sell,11,7283.62,Short,,,7.05,2019-12-30 15:00:00,7044.78,0.9647,7044.78
Buy,12,7283.62,Long,0.9672,7037.74,7.04,2019-12-30 15:00:00,7037.74,,
Sell,12,7241.98,Long,,,7.0,2020-01-03 09:00:00,6997.51,0.9728,6997.51
Buy,13,7241.98,Short,0.9662,6990.51,7.0,2020-01-03 09:00:00,6990.51,,
Sell,13,9038.0,Short,,,5.61,2020-01-19 11:00:00,5601.36,0.7742,5601.36
Buy,14,9038.0,Long,0.6198,5595.76,5.6,2020-01-19 11:00:00,5595.76,,
Sell,14,8487.55,Long,,,5.26,2020-01-26 17:00:00,5254.95,0.66,5254.95
Buy,15,8487.55,Short,0.6191,5249.7,5.25,2020-01-26 17:00:00,5249.7,,
Sell,15,9166.85,Short,,,4.87,2020-02-04 12:00:00,4860.67,0.5733,4860.67
Buy,16,9166.85,Long,0.5302,4855.81,4.86,2020-02-04 12:00:00,4855.81,,
Sell,16,9370.03,Long,,,4.97,2020-02-05 11:00:00,4963.44,0.5187,4963.44
Buy,17,9370.03,Short,0.5297,4958.48,4.96,2020-02-05 11:00:00,4958.48,,
Sell,17,10057.13,Short,,,4.62,2020-02-10 05:00:00,4619.72,0.4935,4619.72
Buy,18,10057.13,Long,0.4593,4615.1,4.62,2020-02-10 05:00:00,4615.1,,
Sell,18,9861.31,Long,,,4.53,2020-02-11 15:00:00,4525.24,0.4685,4525.24
Buy,19,9861.31,Short,0.4589,4520.71,4.53,2020-02-11 15:00:00,4520.71,,
Sell,19,10240.07,Short,,,4.36,2020-02-15 15:00:00,4353.5,0.4419,4353.5
Buy,20,10240.07,Long,0.4251,4349.15,4.35,2020-02-15 15:00:00,4349.15,,
