action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
sell,1,9275.25,short,1.0781380555780167,10000.0,100,0.0010781380555780168,2019-11-04 20:00:00,10000.0,0.0,1.0781380555780167
buy,1,9222.05,short,1.0781380555780167,10000.0,100,10.057356944556751,2019-11-07 10:00:00,10047.299587612195,0.0,0.0
buy,2,9222.05,long,1.088397079610779,10047.299587612195,100,10.047299587612196,2019-11-07 10:00:00,10037.252288024583,1.088397079610779,0.0
sell,2,9017.01,long,1.088397079610779,10047.299587612195,100,9.813863962495661,2019-11-10 17:00:00,9804.050098533166,0.0,0.0
sell,3,9017.01,short,1.0872839332032642,9804.050098533166,100,0.0010872839332032643,2019-11-10 17:00:00,9804.050098533166,0.0,1.0872839332032642
buy,3,8757.37,short,1.0872839332032642,9804.050098533166,100,10.08635249895006,2019-11-11 09:00:00,10076.26614645111,0.0,0.0
buy,4,8757.37,long,1.149453532316741,10076.26614645111,100,10.07626614645111,2019-11-11 09:00:00,10066.189880304659,1.149453532316741,0.0
sell,4,7321.93,long,1.149453532316741,10076.26614645111,100,8.414566678674284,2019-11-27 16:00:00,8406.15211199561,0.0,0.0
sell,5,7321.93,short,1.148078732246226,8406.15211199561,100,0.001148078732246226,2019-11-27 16:00:00,8406.15211199561,0.0,1.148078732246226
buy,5,7487.46,short,1.148078732246226,8406.15211199561,100,8.216110639446894,2019-12-01 01:00:00,8207.894528807446,0.0,0.0
buy,6,7487.46,long,1.0951225962180284,8207.894528807446,100,8.207894528807447,2019-12-01 01:00:00,8199.68663427864,1.0951225962180284,0.0
sell,6,7226.88,long,1.0951225962180284,8207.894528807446,100,7.914033935457326,2019-12-04 13:00:00,7906.119901521868,0.0,0.0
sell,7,7226.88,short,1.0939879867275875,7906.119901521868,100,0.0010939879867275875,2019-12-04 13:00:00,7906.119901521868,0.0,1.0939879867275875
buy,7,7373.79,short,1.0939879867275875,7906.119901521868,100,7.74540212639172,2019-12-09 20:00:00,7737.656724265327,0.0,0.0
buy,8,7373.79,long,1.0482966110427694,7737.656724265327,100,7.737656724265327,2019-12-09 20:00:00,7729.919067541062,1.0482966110427694,0.0
sell,8,6868.08,long,1.0482966110427694,7737.656724265327,100,7.199254323626708,2019-12-18 19:00:00,7192.055069303082,0.0,0.0
sell,9,6868.08,short,1.0471711263268748,7192.055069303082,100,0.001047171126326875,2019-12-18 19:00:00,7192.055069303082,0.0,1.0471711263268748
buy,9,7179.92,short,1.0471711263268748,7192.055069303082,100,6.865505225269309,2019-12-25 16:00:00,6858.63972004404,0.0,0.0
buy,10,7179.92,long,0.9542976913843044,6858.63972004404,100,6.85863972004404,2019-12-25 16:00:00,6851.781080323995,0.9542976913843044,0.0
sell,10,7310.1,long,0.9542976913843044,6858.63972004404,100,6.976135908616697,2019-12-26 17:00:00,6969.15977270808,0.0,0.0
sell,11,7310.1,short,0.9533603880532523,6969.15977270808,100,0.0009533603880532523,2019-12-26 17:00:00,6969.15977270808,0.0,0.9533603880532523
buy,11,7283.62,short,0.9533603880532523,6969.15977270808,100,6.99440475578373,2019-12-30 15:00:00,6987.4103510279465,0.0,0.0
buy,12,7283.62,long,0.9583727515544356,6987.4103510279465,100,6.987410351027947,2019-12-30 15:00:00,6980.422940676918,0.9583727515544356,0.0
sell,12,7241.98,long,0.9583727515544356,6987.4103510279465,100,6.940476352714229,2020-01-03 09:00:00,6933.535876361514,0.0,0.0
sell,13,7241.98,short,0.9574088683428447,6933.535876361514,100,0.0009574088683428447,2020-01-03 09:00:00,6933.535876361514,0.0,0.9574088683428447
buy,13,9038.0,short,0.9574088683428447,6933.535876361514,100,5.214010400640398,2020-01-19 11:00:00,5208.796390239758,0.0,0.0
buy,14,9038.0,long,0.5757454739820224,5208.796390239758,100,5.208796390239758,2020-01-19 11:00:00,5203.587593849518,0.5757454739820224,0.0
sell,14,8487.55,long,0.5757454739820224,5208.796390239758,100,4.886351261363628,2020-01-26 17:00:00,4881.464910102264,0.0,0.0
sell,15,8487.55,short,0.5751323892174143,4881.464910102264,100,0.0005751323892174143,2020-01-26 17:00:00,4881.464910102264,0.0,0.5751323892174143
buy,15,9166.85,short,0.5751323892174143,4881.464910102264,100,4.490777478106874,2020-02-04 12:00:00,4486.286700628767,0.0,0.0
buy,16,9166.85,long,0.4889139032413684,4486.286700628767,100,4.486286700628767,2020-02-04 12:00:00,4481.800413928138,0.4889139032413684,0.0
sell,16,9370.03,long,0.4889139032413684,4486.286700628767,100,4.581237377752544,2020-02-05 11:00:00,4576.656140374791,0.0,0.0
sell,17,9370.03,short,0.48843559096126593,4576.656140374791,100,0.000488435590961266,2020-02-05 11:00:00,4576.656140374791,0.0,0.48843559096126593
buy,17,10057.13,short,0.48843559096126593,4576.656140374791,100,4.241052045825306,2020-02-10 05:00:00,4236.810993779481,0.0,0.0
buy,18,10057.13,long,0.42085308460621484,4236.810993779481,100,4.236810993779481,2020-02-10 05:00:00,4232.574182785701,0.42085308460621484,0.0
sell,18,9861.31,long,0.42085308460621484,4236.810993779481,100,4.15008023781314,2020-02-11 15:00:00,4145.930157575326,0.0,0.0
sell,19,9861.31,short,0.42042387447259305,4145.930157575326,100,0.00042042387447259303,2020-02-11 15:00:00,4145.930157575326,0.0,0.42042387447259305
buy,19,10240.07,short,0.42042387447259305,4145.930157575326,100,3.9866904108800862,2020-02-15 15:00:00,3982.7037204692065,0.0,0.0
buy,20,10240.07,long,0.38854431822719354,3982.7037204692065,100,3.9827037204692064,2020-02-15 15:00:00,3978.7210167487374,0.38854431822719354,0.0
sell,20,10002.7,long,0.38854431822719354,3982.7037204692065,100,3.8863999308452453,2020-02-18 19:00:00,3882.5135309144002,0.0,0.0
sell,21,10002.7,short,0.38814655352198907,3882.5135309144002,100,0.00038814655352198906,2020-02-18 19:00:00,3882.5135309144002,0.0,0.38814655352198907
buy,21,10159.61,short,0.38814655352198907,3882.5135309144002,100,3.821609455201265,2020-02-19 21:00:00,3817.787845746064,0.0,0.0
buy,22,10159.61,long,0.3754051639679395,3817.787845746064,100,3.817787845746064,2020-02-19 21:00:00,3813.970057900318,0.3754051639679395,0.0
sell,22,9797.42,long,0.3754051639679395,3817.787845746064,100,3.677865957462332,2020-02-23 04:00:00,3674.188091504869,0.0,0.0
sell,23,9797.42,short,0.3750158808650511,3674.188091504869,100,0.0003750158808650511,2020-02-23 04:00:00,3674.188091504869,0.0,0.3750158808650511
buy,23,9606.48,short,0.3750158808650511,3674.188091504869,100,3.7457936237972422,2020-02-24 18:00:00,3742.0478301734447,0.0,0.0
buy,24,9606.48,long,0.3891441800059201,3742.0478301734447,100,3.742047830173445,2020-02-24 18:00:00,3738.3057823432714,0.3891441800059201,0.0
sell,24,8753.56,long,0.3891441800059201,3742.0478301734447,100,3.4060646872375164,2020-03-02 13:00:00,3402.658622550279,0.0,0.0
sell,25,8753.56,short,0.3887171188122637,3402.658622550279,100,0.0003887171188122637,2020-03-02 13:00:00,3402.658622550279,0.0,0.3887171188122637
buy,25,9047.97,short,0.3887171188122637,3402.658622550279,100,3.2882164156007607,2020-03-07 17:00:00,3284.92819918516,0.0,0.0
buy,26,9047.97,long,0.36269387177300266,3284.92819918516,100,3.2849281991851598,2020-03-07 17:00:00,3281.6432709859746,0.36269387177300266,0.0
sell,26,5173.71,long,0.36269387177300266,3284.92819918516,100,1.8750663343941096,2020-03-15 21:00:00,1873.1912680597154,0.0,0.0
sell,27,5173.71,short,0.36205957969420693,1873.1912680597154,100,0.00036205957969420694,2020-03-15 21:00:00,1873.1912680597154,0.0,0.36205957969420693
buy,27,4810.86,short,0.36205957969420693,1873.1912680597154,100,2.0045645865517585,2020-03-16 10:00:00,2002.5600219652067,0.0,0.0
buy,28,4810.86,long,0.4158419621321846,2002.5600219652067,100,2.002560021965207,2020-03-16 10:00:00,2000.5574619432416,0.4158419621321846,0.0
sell,28,5649.13,long,0.4158419621321846,2002.5600219652067,100,2.349494240318163,2020-03-19 12:00:00,2347.144746077845,0.0,0.0
sell,29,5649.13,short,0.4154878266348703,2347.144746077845,100,0.00041548782663487034,2020-03-19 12:00:00,2347.144746077845,0.0,0.4154878266348703
buy,29,6681.26,short,0.4154878266348703,2347.144746077845,100,1.918307295573196,2020-03-27 23:00:00,1916.3889882776227,0.0,0.0
buy,30,6681.26,long,0.2865436458526303,1916.3889882776227,100,1.9163889882776228,2020-03-27 23:00:00,1914.472599289345,0.2865436458526303,0.0
sell,30,6304.18,long,0.2865436458526303,1916.3889882776227,100,1.806314563275221,2020-03-30 11:00:00,1804.5082487119457,0.0,0.0
sell,31,6304.18,short,0.28623996280435293,1804.5082487119457,100,0.00028623996280435294,2020-03-30 11:00:00,1804.5082487119457,0.0,0.28623996280435293
buy,31,7148.89,short,0.28623996280435293,1804.5082487119457,100,1.5627184897314808,2020-04-10 05:00:00,1561.1557712417493,0.0,0.0
buy,32,7148.89,long,0.21815898908369097,1561.1557712417493,100,1.5611557712417494,2020-04-10 05:00:00,1559.5946154705075,0.21815898908369097,0.0
sell,32,6982.8,long,0.21815898908369097,1561.1557712417493,100,1.5233243186768037,2020-04-12 15:00:00,1521.800994358127,0.0,0.0
sell,33,6982.8,short,0.21793564105489588,1521.800994358127,100,0.00021793564105489587,2020-04-12 15:00:00,1521.800994358127,0.0,0.21793564105489588
buy,33,6783.5,short,0.21793564105489588,1521.800994358127,100,1.5652355676203678,2020-04-15 12:00:00,1563.6703320527472,0.0,0.0
buy,34,6783.5,long,0.2302803363633367,1563.6703320527472,100,1.5636703320527472,2020-04-15 12:00:00,1562.1066617206945,0.2302803363633367,0.0
sell,34,6900.0,long,0.2302803363633367,1563.6703320527472,100,1.5889611754207231,2020-04-16 08:00:00,1587.3722142453023,0.0,0.0
sell,35,6900.0,short,0.23005394409352206,1587.3722142453023,100,0.00023005394409352206,2020-04-16 08:00:00,1587.3722142453023,0.0,0.23005394409352206
buy,35,7081.92,short,0.23005394409352206,1587.3722142453023,100,1.5455208007358088,2020-04-20 11:00:00,1543.9752799350729,0.0,0.0
