action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
buy,1,27900.46,long,0.3580586126536982,10000.0,100,10.0,2023-08-17 16:00:00,9990.0,0.3580586126536982,0.0
sell,1,26386.69,long,0.3580586126536982,10000.0,100,9.447439052976188,2023-08-23 17:00:00,9437.991613923212,0.0,0.0
sell,2,26386.69,short,0.3576800126853051,9437.991613923212,100,0.0003576800126853051,2023-08-23 17:00:00,9437.991613923212,0.0,0.3576800126853051
buy,2,26930.94,short,0.3576800126853051,9437.991613923212,100,9.243324267019235,2023-08-31 16:00:00,9234.080942752214,0.0,0.0
buy,3,26930.94,long,0.3425371287377813,9234.080942752214,100,9.234080942752215,2023-08-31 16:00:00,9224.846861809463,0.3425371287377813,0.0
sell,3,26000.77,long,0.3425371287377813,9234.080942752214,100,8.905910164073706,2023-09-07 21:00:00,8897.004253909632,0.0,0.0
sell,4,26000.77,short,0.34218233744268467,8897.004253909632,100,0.0003421823374426847,2023-09-07 21:00:00,8897.004253909632,0.0,0.34218233744268467
buy,4,25781.56,short,0.34218233744268467,8897.004253909632,100,8.972014044100442,2023-09-10 17:00:00,8963.042030056342,0.0,0.0
buy,5,25781.56,long,0.347305554358475,8963.042030056342,100,8.963042030056343,2023-09-10 17:00:00,8954.078988026286,0.347305554358475,0.0
sell,5,25846.85,long,0.347305554358475,8963.042030056342,100,8.976777265948272,2023-09-12 10:00:00,8967.800488682322,0.0,0.0
sell,6,25846.85,short,0.346959126109461,8967.800488682322,100,0.000346959126109461,2023-09-12 10:00:00,8967.800488682322,0.0,0.346959126109461
buy,6,26639.03,short,0.346959126109461,8967.800488682322,100,8.69294640816093,2023-09-21 13:00:00,8684.253461752769,0.0,0.0
buy,7,26639.03,long,0.32567136296971083,8684.253461752769,100,8.68425346175277,2023-09-21 13:00:00,8675.569208291015,0.32567136296971083,0.0
