action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
buy,1,9124.42,long,1.0948641119106748,10000.0,100,10.0,2019-10-31 09:00:00,9990.0,1.0948641119106748,0.0
sell,1,9317.53,long,1.0948641119106748,10000.0,100,10.201640849500572,2019-10-31 13:00:00,10191.439208651072,0.0,0.0
sell,2,9317.53,short,1.0937919393499214,10191.439208651072,100,0.0010937919393499214,2019-10-31 13:00:00,10191.439208651072,0.0,1.0937919393499214
buy,2,9154.0,short,1.0937919393499214,10191.439208651072,100,10.370307004492965,2019-11-01 00:00:00,10359.936697488472,0.0,0.0
buy,3,9154.0,long,1.1306070308926135,10359.936697488472,100,10.359936697488473,2019-11-01 00:00:00,10349.576760790984,1.1306070308926135,0.0
sell,3,9180.47,long,1.1306070308926135,10359.936697488472,100,10.379533886023944,2019-11-01 12:00:00,10369.15435213792,0.0,0.0
sell,4,9180.47,short,1.1294796837349201,10369.15435213792,100,0.00112947968373492,2019-11-01 12:00:00,10369.15435213792,0.0,1.1294796837349201
buy,4,9277.99,short,1.1294796837349201,10369.15435213792,100,10.25900749338009,2019-11-03 06:00:00,10248.74848588671,0.0,0.0
buy,5,9277.99,long,1.1035256275767513,10248.74848588671,100,10.24874848588671,2019-11-03 06:00:00,10238.499737400824,1.1035256275767513,0.0
sell,5,9163.86,long,1.1035256275767513,10248.74848588671,100,10.112428286074163,2019-11-04 03:00:00,10102.315857788088,0.0,0.0
sell,6,9163.86,short,1.1024083582451158,10102.315857788088,100,0.001102408358245116,2019-11-04 03:00:00,10102.315857788088,0.0,1.1024083582451158
buy,6,9138.25,short,1.1024083582451158,10102.315857788088,100,10.130548535842745,2019-11-04 05:00:00,10120.417987306902,0.0,0.0
buy,7,9138.25,long,1.1063713040592669,10120.417987306902,100,10.120417987306903,2019-11-04 05:00:00,10110.297569319595,1.1063713040592669,0.0
sell,7,9208.8,long,1.1063713040592669,10120.417987306902,100,10.188430197449104,2019-11-04 11:00:00,10178.241767251655,0.0,0.0
sell,8,9208.8,short,1.1052734088319494,10178.241767251655,100,0.0011052734088319493,2019-11-04 11:00:00,10178.241767251655,0.0,1.1052734088319494
buy,8,9221.38,short,1.1052734088319494,10178.241767251655,100,10.16433742776855,2019-11-05 08:00:00,10154.17309034078,0.0,0.0
buy,9,9221.38,long,1.100054321289269,10154.17309034078,100,10.15417309034078,2019-11-05 08:00:00,10144.01891725044,1.100054321289269,0.0
sell,9,9406.08,long,1.100054321289269,10154.17309034078,100,10.347402333809127,2019-11-05 20:00:00,10337.054931475317,0.0,0.0
sell,10,9406.08,short,1.09897586789346,10337.054931475317,100,0.00109897586789346,2019-11-05 20:00:00,10337.054931475317,0.0,1.09897586789346
buy,10,9317.56,short,1.09897586789346,10337.054931475317,100,10.434336275301249,2019-11-06 04:00:00,10423.901939025947,0.0,0.0
buy,11,9317.56,long,1.1176185650628407,10423.901939025947,100,10.423901939025948,2019-11-06 04:00:00,10413.478037086921,1.1176185650628407,0.0
sell,11,9392.0,long,1.1176185650628407,10423.901939025947,100,10.496756841874989,2019-11-06 07:00:00,10486.260085033115,0.0,0.0
sell,12,9392.0,short,1.11650980462448,10486.260085033115,100,0.00111650980462448,2019-11-06 07:00:00,10486.260085033115,0.0,1.11650980462448
buy,12,9340.49,short,1.11650980462448,10486.260085033115,100,10.543771505069321,2019-11-06 16:00:00,10533.227733564252,0.0,0.0
buy,13,9340.49,long,1.1265677181636817,10533.227733564252,100,10.533227733564253,2019-11-06 16:00:00,10522.694505830688,1.1265677181636817,0.0
sell,13,9215.06,long,1.1265677181636817,10533.227733564252,100,10.381247670105692,2019-11-08 02:00:00,10370.866422435585,0.0,0.0
sell,14,9215.06,short,1.1254258162655029,10370.866422435585,100,0.0011254258162655029,2019-11-08 02:00:00,10370.866422435585,0.0,1.1254258162655029
buy,14,9123.98,short,1.1254258162655029,10370.866422435585,100,10.473370205781048,2019-11-08 08:00:00,10462.896835575268,0.0,0.0
buy,15,9123.98,long,1.1456002686042377,10462.896835575268,100,10.462896835575268,2019-11-08 08:00:00,10452.433938739692,1.1456002686042377,0.0
sell,15,8870.04,long,1.1456002686042377,10462.896835575268,100,10.161229001593187,2019-11-09 07:00:00,10151.067772591594,0.0,0.0
sell,16,8870.04,short,1.144421870993997,10151.067772591594,100,0.001144421870993997,2019-11-09 07:00:00,10151.067772591594,0.0,1.144421870993997
buy,16,8742.26,short,1.144421870993997,10151.067772591594,100,10.297301999267207,2019-11-09 17:00:00,10287.00469726794,0.0,0.0
buy,17,8742.26,long,1.1755218550547195,10287.00469726794,100,10.287004697267939,2019-11-09 17:00:00,10276.717692570672,1.1755218550547195,0.0
sell,17,8844.02,long,1.1755218550547195,10287.00469726794,100,10.396458537385856,2019-11-10 07:00:00,10386.06207884847,0.0,0.0
sell,18,8844.02,short,1.1743598588479527,10386.06207884847,100,0.0011743598588479526,2019-11-10 07:00:00,10386.06207884847,0.0,1.1743598588479527
buy,18,8763.93,short,1.1743598588479527,10386.06207884847,100,10.480116559943603,2019-11-11 07:00:00,10469.636443383659,0.0,0.0
buy,19,8763.93,long,1.1934334033864116,10469.636443383659,100,10.469636443383658,2019-11-11 07:00:00,10459.166806940275,1.1934334033864116,0.0
sell,19,8735.59,long,1.1934334033864116,10469.636443383659,100,10.425311048529894,2019-11-12 03:00:00,10414.885737481363,0.0,0.0
sell,20,8735.59,short,1.1922360982465252,10414.885737481363,100,0.0011922360982465252,2019-11-12 03:00:00,10414.885737481363,0.0,1.1922360982465252
buy,20,8699.05,short,1.1922360982465252,10414.885737481363,100,10.458450044511292,2019-11-12 13:00:00,10447.991594466781,0.0,0.0
buy,21,8699.05,long,1.1998486734611613,10447.991594466781,100,10.447991594466782,2019-11-12 13:00:00,10437.543602872314,1.1998486734611613,0.0
sell,21,8789.7,long,1.1998486734611613,10447.991594466781,100,10.546418760278975,2019-11-12 21:00:00,10535.872341518696,0.0,0.0
sell,22,8789.7,short,1.198661199076043,10535.872341518696,100,0.001198661199076043,2019-11-12 21:00:00,10535.872341518696,0.0,1.198661199076043
buy,22,8733.55,short,1.198661199076043,10535.872341518696,100,10.603177167846818,2019-11-13 08:00:00,10592.573990678971,0.0,0.0
buy,23,8733.55,long,1.2116472015032023,10592.573990678971,100,10.592573990678972,2019-11-13 08:00:00,10581.981416688292,1.2116472015032023,0.0
sell,23,8767.41,long,1.2116472015032023,10592.573990678971,100,10.623048858372876,2019-11-13 09:00:00,10612.425809514501,0.0,0.0
sell,24,8767.41,short,1.2104402337194795,10612.425809514501,100,0.0012104402337194794,2019-11-13 09:00:00,10612.425809514501,0.0,1.2104402337194795
buy,24,8738.2,short,1.2104402337194795,10612.425809514501,100,10.647782768741447,2019-11-13 13:00:00,10637.134985972705,0.0,0.0
buy,25,8738.2,long,1.2160968907769028,10637.134985972705,100,10.637134985972706,2019-11-13 13:00:00,10626.497850986732,1.2160968907769028,0.0
sell,25,8745.14,long,1.2160968907769028,10637.134985972705,100,10.634946011569305,2019-11-13 21:00:00,10624.311065557737,0.0,0.0
sell,26,8745.14,short,1.2148817589607184,10624.311065557737,100,0.0012148817589607184,2019-11-13 21:00:00,10624.311065557737,0.0,1.2148817589607184
buy,26,8756.62,short,1.2148817589607184,10624.311065557737,100,10.610364222964867,2019-11-14 04:00:00,10599.753858741902,0.0,0.0
buy,27,8756.62,long,1.2092741382957304,10599.753858741902,100,10.599753858741902,2019-11-14 04:00:00,10589.15410488316,1.2092741382957304,0.0
sell,27,8644.68,long,1.2092741382957304,10599.753858741902,100,10.453652456193646,2019-11-14 23:00:00,10443.198803737452,0.0,0.0
sell,28,8644.68,short,1.208049205261207,10443.198803737452,100,0.001208049205261207,2019-11-14 23:00:00,10443.198803737452,0.0,1.208049205261207
buy,28,8600.48,short,1.208049205261207,10443.198803737452,100,10.496594578609999,2019-11-15 01:00:00,10486.097984031388,0.0,0.0
buy,29,8600.48,long,1.2180264224842519,10486.097984031388,100,10.486097984031389,2019-11-15 01:00:00,10475.611886047358,1.2180264224842519,0.0
sell,29,8612.35,long,1.2180264224842519,10486.097984031388,100,10.490084332128326,2019-11-15 12:00:00,10479.594247796198,0.0,0.0
sell,30,8612.35,short,1.216810074810731,10479.594247796198,100,0.001216810074810731,2019-11-15 12:00:00,10479.594247796198,0.0,1.216810074810731
buy,30,8447.77,short,1.216810074810731,10479.594247796198,100,10.679856849908546,2019-11-15 15:00:00,10669.176993058638,0.0,0.0
buy,31,8447.77,long,1.261694839711022,10669.176993058638,100,10.669176993058638,2019-11-15 15:00:00,10658.50781606558,1.261694839711022,0.0
sell,31,8485.01,long,1.261694839711022,10669.176993058638,100,10.705540364444797,2019-11-16 09:00:00,10694.834824080352,0.0,0.0
sell,32,8485.01,short,1.2604386823445526,10694.834824080352,100,0.0012604386823445526,2019-11-16 09:00:00,10694.834824080352,0.0,1.2604386823445526
buy,32,8476.66,short,1.2604386823445526,10694.834824080352,100,10.70535948707793,2019-11-16 23:00:00,10694.654127590851,0.0,0.0
buy,33,8476.66,long,1.2603973113777434,10694.654127590851,100,10.694654127590852,2019-11-16 23:00:00,10683.959473463261,1.2603973113777434,0.0
sell,33,8481.16,long,1.2603973113777434,10694.654127590851,100,10.689636938829826,2019-11-17 02:00:00,10678.947301890996,0.0,0.0
sell,34,8481.16,short,1.259137582817798,10678.947301890996,100,0.001259137582817798,2019-11-17 02:00:00,10678.947301890996,0.0,1.259137582817798
buy,34,8477.0,short,1.259137582817798,10678.947301890996,100,10.684185314235517,2019-11-17 07:00:00,10673.501128921282,0.0,0.0
buy,35,8477.0,long,1.2578539138601343,10673.501128921282,100,10.673501128921282,2019-11-17 07:00:00,10662.82762779236,1.2578539138601343,0.0
sell,35,8420.27,long,1.2578539138601343,10673.501128921282,100,10.59139814577706,2019-11-17 08:00:00,10580.80674763128,0.0,0.0
sell,36,8420.27,short,1.2565875853899318,10580.80674763128,100,0.0012565875853899318,2019-11-17 08:00:00,10580.80674763128,0.0,1.2565875853899318
buy,36,8493.05,short,1.2565875853899318,10580.80674763128,100,10.489352303166603,2019-11-18 01:00:00,10478.862950863437,0.0,0.0
buy,37,8493.05,long,1.2325824159651213,10478.862950863437,100,10.478862950863437,2019-11-18 01:00:00,10468.384087912573,1.2325824159651213,0.0
