action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
sell,1,50971.5,short,0.19618806587995252,10000.0,100,0.00019618806587995253,2021-12-07 19:00:00,10000.0,0.0,0.19618806587995252
buy,1,50465.79,short,0.19618806587995252,10000.0,100,10.099214266796151,2021-12-07 21:00:00,10089.115052529354,0.0,0.0
buy,2,50465.79,long,0.19971996747651874,10089.115052529354,100,10.089115052529355,2021-12-07 21:00:00,10079.025937476825,0.19971996747651874,0.0
sell,2,50613.84,long,0.19971996747651874,10089.115052529354,100,10.108624076801046,2021-12-08 19:00:00,10098.515452724245,0.0,0.0
sell,3,50613.84,short,0.1995208317077749,10098.515452724245,100,0.0001995208317077749,2021-12-08 19:00:00,10098.515452724245,0.0,0.1995208317077749
buy,3,49567.4,short,0.1995208317077749,10098.515452724245,100,10.307302031856526,2021-12-09 04:00:00,10296.99472982467,0.0,0.0
buy,4,49567.4,long,0.20752949993533745,10296.99472982467,100,10.29699472982467,2021-12-09 04:00:00,10286.697735094845,0.20752949993533745,0.0
sell,4,48138.22,long,0.20752949993533745,10296.99472982467,100,9.989803830472638,2021-12-10 09:00:00,9979.814026642165,0.0,0.0
sell,5,48138.22,short,0.20731580907316816,9979.814026642165,100,0.00020731580907316815,2021-12-10 09:00:00,9979.814026642165,0.0,0.20731580907316816
buy,5,47529.08,short,0.20731580907316816,9979.814026642165,100,10.106098378580995,2021-12-10 23:00:00,10095.992280202414,0.0,0.0
buy,6,47529.08,long,0.2122047447146507,10095.992280202414,100,10.095992280202415,2021-12-10 23:00:00,10085.89628792221,0.2122047447146507,0.0
sell,6,48253.67,long,0.2122047447146507,10095.992280202414,100,10.239811639246323,2021-12-11 12:00:00,10229.571827607077,0.0,0.0
sell,7,48253.67,short,0.21199572649307455,10229.571827607077,100,0.00021199572649307455,2021-12-11 12:00:00,10229.571827607077,0.0,0.21199572649307455
buy,7,48816.35,short,0.21199572649307455,10229.571827607077,100,10.110286072223953,2021-12-13 03:00:00,10100.175786151729,0.0,0.0
buy,8,48816.35,long,0.20669459331485407,10100.175786151729,100,10.100175786151729,2021-12-13 03:00:00,10090.075610365577,0.20669459331485407,0.0
sell,8,46855.96,long,0.20669459331485407,10100.175786151729,100,9.68446798895566,2021-12-14 10:00:00,9674.783520966703,0.0,0.0
sell,9,46855.96,short,0.2064792508992816,9674.783520966703,100,0.0002064792508992816,2021-12-14 10:00:00,9674.783520966703,0.0,0.2064792508992816
buy,9,46625.68,short,0.2064792508992816,9674.783520966703,100,9.72233156286379,2021-12-14 18:00:00,9712.609231300927,0.0,0.0
buy,10,46625.68,long,0.20810198633177307,9712.609231300927,100,9.712609231300927,2021-12-14 18:00:00,9702.896622069626,0.20810198633177307,0.0
sell,10,48312.51,long,0.20810198633177307,9712.609231300927,100,10.054280679731312,2021-12-14 22:00:00,10044.22639905158,0.0,0.0
sell,11,48312.51,short,0.20790115022075192,10044.22639905158,100,0.00020790115022075194,2021-12-14 22:00:00,10044.22639905158,0.0,0.20790115022075192
buy,11,47670.69,short,0.20790115022075192,10044.22639905158,100,10.177661515286264,2021-12-15 14:00:00,10167.483853770977,0.0,0.0
buy,12,47670.69,long,0.21307256869823377,10167.483853770977,100,10.167483853770976,2021-12-15 14:00:00,10157.316369917206,0.21307256869823377,0.0
