action,trade_number,price,type,base_amount,quote_amount,quantity,trading_fee,date,quote_balance,base_balance,base_debt
buy,1,27900.46,long,0.3580586126536982,10000.0,100,10.0,2023-08-17 16:00:00,9990.0,0.3580586126536982,0.0
sell,1,26217.77,long,0.3580586126536982,10000.0,100,9.386895248322071,2023-08-19 16:00:00,9377.508353073748,0.0,0.0
sell,2,26217.77,short,0.3576775733814794,9377.508353073748,100,0.0003576775733814794,2023-08-19 16:00:00,9377.508353073748,0.0,0.3576775733814794
buy,2,26090.24,short,0.3576775733814794,9377.508353073748,100,9.42312297400709,2023-08-20 08:00:00,9413.699851033081,0.0,0.0
buy,3,26090.24,long,0.36045226686998844,9413.699851033081,100,9.413699851033082,2023-08-20 08:00:00,9404.286151182048,0.36045226686998844,0.0
sell,3,26154.62,long,0.36045226686998844,9413.699851033081,100,9.427515297269224,2023-08-20 11:00:00,9418.087781971954,0.0,0.0
sell,4,26154.62,short,0.3600927018619255,9418.087781971954,100,0.0003600927018619255,2023-08-20 11:00:00,9418.087781971954,0.0,0.3600927018619255
buy,4,26118.02,short,0.3600927018619255,9418.087781971954,100,9.431267174860102,2023-08-20 19:00:00,9421.835907685241,0.0,0.0
buy,5,26118.02,long,0.3603800775011871,9421.835907685241,100,9.421835907685242,2023-08-20 19:00:00,9412.414071777555,0.3603800775011871,0.0
sell,5,26142.63,long,0.3603800775011871,9421.835907685241,100,9.4212919033164,2023-08-20 20:00:00,9411.870611413084,0.0,0.0
sell,6,26142.63,short,0.36002003667622895,9411.870611413084,100,0.00036002003667622896,2023-08-20 20:00:00,9411.870611413084,0.0,0.36002003667622895
buy,6,26085.0,short,0.36002003667622895,9411.870611413084,100,9.432618566126736,2023-08-21 04:00:00,9423.185947560609,0.0,0.0
buy,7,26085.0,long,0.360887972459768,9423.185947560609,100,9.42318594756061,2023-08-21 04:00:00,9413.762761613048,0.360887972459768,0.0
sell,7,26111.89,long,0.360887972459768,9423.185947560609,100,9.423476753184064,2023-08-21 21:00:00,9414.05327643088,0.0,0.0
sell,8,26111.89,short,0.3605274561294062,9414.05327643088,100,0.0003605274561294062,2023-08-21 21:00:00,9414.05327643088,0.0,0.3605274561294062
buy,8,26037.0,short,0.3605274561294062,9414.05327643088,100,9.44105317762041,2023-08-22 06:00:00,9431.612124442789,0.0,0.0
buy,9,26037.0,long,0.36187657995615263,9431.612124442789,100,9.431612124442788,2023-08-22 06:00:00,9422.180512318346,0.36187657995615263,0.0
sell,9,25998.34,long,0.36187657995615263,9431.612124442789,100,9.408176359584507,2023-08-23 04:00:00,9398.768183224924,0.0,0.0
sell,10,25998.34,short,0.36151416525920205,9398.768183224924,100,0.00036151416525920206,2023-08-23 04:00:00,9398.768183224924,0.0,0.36151416525920205
buy,10,26463.86,short,0.36151416525920205,9398.768183224924,100,9.23047610901346,2023-08-24 11:00:00,9221.245632904447,0.0,0.0
buy,11,26463.86,long,0.34809828903536905,9221.245632904447,100,9.221245632904447,2023-08-24 11:00:00,9212.024387271542,0.34809828903536905,0.0
sell,11,26054.63,long,0.34809828903536905,9221.245632904447,100,9.069429529591918,2023-08-26 00:00:00,9060.360100062326,0.0,0.0
sell,12,26054.63,short,0.3477447233010918,9060.360100062326,100,0.0003477447233010918,2023-08-26 00:00:00,9060.360100062326,0.0,0.3477447233010918
buy,12,26039.27,short,0.3477447233010918,9060.360100062326,100,9.065701459012232,2023-08-26 12:00:00,9056.635757553218,0.0,0.0
buy,13,26039.27,long,0.3474590156250795,9056.635757553218,100,9.056635757553218,2023-08-26 12:00:00,9047.579121795665,0.3474590156250795,0.0
sell,13,26034.09,long,0.3474590156250795,9056.635757553218,100,9.045777482455385,2023-08-27 08:00:00,9036.73170497293,0.0,0.0
sell,14,26034.09,short,0.3471114874755726,9036.73170497293,100,0.0003471114874755726,2023-08-27 08:00:00,9036.73170497293,0.0,0.3471114874755726
buy,14,26017.37,short,0.3471114874755726,9036.73170497293,100,9.042535409043523,2023-08-28 01:00:00,9033.49287363448,0.0,0.0
buy,15,26017.37,long,0.3468628604951556,9033.49287363448,100,9.03349287363448,2023-08-28 01:00:00,9024.459380760845,0.3468628604951556,0.0
sell,15,26118.32,long,0.3468628604951556,9033.49287363448,100,9.059510237384455,2023-08-28 15:00:00,9050.45072714707,0.0,0.0
sell,16,26118.32,short,0.3465173382953831,9050.45072714707,100,0.0003465173382953831,2023-08-28 15:00:00,9050.45072714707,0.0,0.3465173382953831
buy,16,26055.81,short,0.3465173382953831,9050.45072714707,100,9.072111525963914,2023-08-29 06:00:00,9063.03941443795,0.0,0.0
buy,17,26055.81,long,0.3474839728653038,9063.03941443795,100,9.06303941443795,2023-08-29 06:00:00,9053.976375023512,0.3474839728653038,0.0
sell,17,26037.66,long,0.3474839728653038,9063.03941443795,100,9.047663227768751,2023-08-29 14:00:00,9038.615564540982,0.0,0.0
sell,18,26037.66,short,0.3471362466727418,9038.615564540982,100,0.0003471362466727418,2023-08-29 14:00:00,9038.615564540982,0.0,0.3471362466727418
buy,18,27373.27,short,0.3471362466727418,9038.615564540982,100,8.574976922122401,2023-08-30 07:00:00,8566.40194520028,0.0,0.0
buy,19,27373.27,long,0.3126347543883168,8566.40194520028,100,8.56640194520028,2023-08-30 07:00:00,8557.83554325508,0.3126347543883168,0.0
sell,19,27241.76,long,0.3126347543883168,8566.40194520028,100,8.51667979095317,2023-08-31 08:00:00,8508.163111162216,0.0,0.0
sell,20,27241.76,short,0.31232061038501974,8508.163111162216,100,0.00031232061038501975,2023-08-31 08:00:00,8508.163111162216,0.0,0.31232061038501974
buy,20,27191.13,short,0.31232061038501974,8508.163111162216,100,8.52397590366601,2023-08-31 13:00:00,8515.451927762342,0.0,0.0
buy,21,27191.13,long,0.3128570410951873,8515.451927762342,100,8.515451927762342,2023-08-31 13:00:00,8506.93647583458,0.3128570410951873,0.0
sell,21,25794.63,long,0.3128570410951873,8515.451927762342,100,8.069594275745063,2023-09-02 07:00:00,8061.524681469317,0.0,0.0
sell,22,25794.63,short,0.31252724623184425,8061.524681469317,100,0.00031252724623184427,2023-09-02 07:00:00,8061.524681469317,0.0,0.31252724623184425
buy,22,25901.83,short,0.31252724623184425,8061.524681469317,100,8.028021760673264,2023-09-04 11:00:00,8019.993738912591,0.0,0.0
buy,23,25901.83,long,0.3093207601614897,8019.993738912591,100,8.019993738912591,2023-09-04 11:00:00,8011.973745173678,0.3093207601614897,0.0
sell,23,25732.42,long,0.3093207601614897,8019.993738912591,100,7.959519260710256,2023-09-05 14:00:00,7951.559741449546,0.0,0.0
sell,24,25732.42,short,0.3090094029807358,7951.559741449546,100,0.0003090094029807358,2023-09-05 14:00:00,7951.559741449546,0.0,0.3090094029807358
buy,24,25740.51,short,0.3090094029807358,7951.559741449546,100,7.949059855379432,2023-09-06 10:00:00,7941.110795524053,0.0,0.0
buy,25,25740.51,long,0.3081978439715658,7941.110795524053,100,7.941110795524053,2023-09-06 10:00:00,7933.169684728529,0.3081978439715658,0.0
sell,25,25718.18,long,0.3081978439715658,7941.110795524053,100,7.926280737925843,2023-09-06 23:00:00,7918.354457187917,0.0,0.0
sell,26,25718.18,short,0.3078893785325368,7918.354457187917,100,0.0003078893785325368,2023-09-06 23:00:00,7918.354457187917,0.0,0.3078893785325368
buy,26,25752.41,short,0.3078893785325368,7918.354457187917,100,7.9078154037607495,2023-09-07 00:00:00,7899.9075883569885,0.0,0.0
buy,27,25752.41,long,0.30645705317555255,7899.9075883569885,100,7.899907588356989,2023-09-07 00:00:00,7892.007680768632,0.30645705317555255,0.0
sell,27,25752.94,long,0.30645705317555255,7899.9075883569885,100,7.892170265591638,2023-09-07 01:00:00,7884.278095326046,0.0,0.0
sell,28,25752.94,short,0.3061506024293167,7884.278095326046,100,0.0003061506024293167,2023-09-07 01:00:00,7884.278095326046,0.0,0.3061506024293167
buy,28,25692.48,short,0.3061506024293167,7884.278095326046,100,7.902787960748922,2023-09-07 12:00:00,7894.885172788173,0.0,0.0
buy,29,25692.48,long,0.30697660512396563,7894.885172788173,100,7.8948851727881735,2023-09-07 12:00:00,7886.990287615385,0.30697660512396563,0.0
sell,29,25948.35,long,0.30697660512396563,7894.885172788173,100,7.965615016297136,2023-09-07 18:00:00,7957.649401280838,0.0,0.0
sell,30,25948.35,short,0.3066726555361261,7957.649401280838,100,0.0003066726555361261,2023-09-07 18:00:00,7957.649401280838,0.0,0.3066726555361261
buy,30,25814.84,short,0.3066726555361261,7957.649401280838,100,7.998593267521467,2023-09-08 11:00:00,7990.5946742539445,0.0,0.0
buy,31,25814.84,long,0.30922539436927327,7990.5946742539445,100,7.990594674253945,2023-09-08 11:00:00,7982.604079579691,0.30922539436927327,0.0
sell,31,25888.52,long,0.30922539436927327,7990.5946742539445,100,8.00541061317041,2023-09-09 03:00:00,7997.40520255724,0.0,0.0
sell,32,25888.52,short,0.30891704904557077,7997.40520255724,100,0.0003089170490455708,2023-09-09 03:00:00,7997.40520255724,0.0,0.30891704904557077
buy,32,25875.86,short,0.30891704904557077,7997.40520255724,100,8.001316092398158,2023-09-09 10:00:00,7993.314776305759,0.0,0.0
buy,33,25875.86,long,0.3086012005602694,7993.314776305759,100,7.993314776305759,2023-09-09 10:00:00,7985.321461529453,0.3086012005602694,0.0
sell,33,25861.49,long,0.3086012005602694,7993.314776305759,100,7.980882423239112,2023-09-09 20:00:00,7972.901540815872,0.0,0.0
sell,34,25861.49,short,0.3082924278846993,7972.901540815872,100,0.0003082924278846993,2023-09-09 20:00:00,7972.901540815872,0.0,0.3082924278846993
buy,34,25821.27,short,0.3082924278846993,7972.901540815872,100,7.985301062265394,2023-09-10 05:00:00,7977.315761203129,0.0,0.0
buy,35,25821.27,long,0.30863464289099357,7977.315761203129,100,7.977315761203129,2023-09-10 05:00:00,7969.338445441926,0.30863464289099357,0.0
sell,35,25801.8,long,0.30863464289099357,7977.315761203129,100,7.963323313813209,2023-09-11 08:00:00,7955.359990499396,0.0,0.0
sell,36,25801.8,short,0.308325775352859,7955.359990499396,100,0.000308325775352859,2023-09-11 08:00:00,7955.359990499396,0.0,0.308325775352859
buy,36,25699.36,short,0.308325775352859,7955.359990499396,100,7.986944882926542,2023-09-11 11:00:00,7978.957938043615,0.0,0.0
buy,37,25699.36,long,0.3101625480208679,7978.957938043615,100,7.9789579380436155,2023-09-11 11:00:00,7970.978980105571,0.3101625480208679,0.0
sell,37,25798.6,long,0.3101625480208679,7978.957938043615,100,8.00179032271377,2023-09-12 04:00:00,7993.788532391056,0.0,0.0
sell,38,25798.6,short,0.30985357858143686,7993.788532391056,100,0.00030985357858143685,2023-09-12 04:00:00,7993.788532391056,0.0,0.30985357858143686
buy,38,25935.83,short,0.30985357858143686,7993.788532391056,100,7.951267325802323,2023-09-13 01:00:00,7943.316058476521,0.0,0.0
buy,39,25935.83,long,0.3059617811505567,7943.316058476521,100,7.943316058476521,2023-09-13 01:00:00,7935.372742418044,0.3059617811505567,0.0
sell,39,26141.77,long,0.3059617811505567,7943.316058476521,100,7.9984455844702405,2023-09-13 11:00:00,7990.44713888577,0.0,0.0
sell,40,26141.77,short,0.3056582296793893,7990.44713888577,100,0.0003056582296793893,2023-09-13 11:00:00,7990.44713888577,0.0,0.3056582296793893
buy,40,26655.0,short,0.3056582296793893,7990.44713888577,100,7.833574165667417,2023-09-15 05:00:00,7825.74059150175,0.0,0.0
buy,41,26655.0,long,0.2933001257141342,7825.74059150175,100,7.82574059150175,2023-09-15 05:00:00,7817.914850910248,0.2933001257141342,0.0
sell,41,26573.6,long,0.2933001257141342,7825.74059150175,100,7.794016322148355,2023-09-15 08:00:00,7786.222305826207,0.0,0.0
sell,42,26573.6,short,0.2930059271542511,7786.222305826207,100,0.0002930059271542511,2023-09-15 08:00:00,7786.222305826207,0.0,0.2930059271542511
buy,42,26646.0,short,0.2930059271542511,7786.222305826207,100,7.765008676700239,2023-09-15 11:00:00,7757.243668023539,0.0,0.0
buy,43,26646.0,long,0.29083113504299013,7757.243668023539,100,7.757243668023539,2023-09-15 11:00:00,7749.486424355515,0.29083113504299013,0.0
sell,43,26605.46,long,0.29083113504299013,7757.243668023539,100,7.737684328044561,2023-09-16 00:00:00,7729.9466437165165,0.0,0.0
sell,44,26605.46,short,0.29053986075476673,7729.9466437165165,100,0.00029053986075476676,2023-09-16 00:00:00,7729.9466437165165,0.0,0.29053986075476673
buy,44,26543.75,short,0.29053986075476673,7729.9466437165165,100,7.7478758585236935,2023-09-16 11:00:00,7740.12798266517,0.0,0.0
buy,45,26543.75,long,0.2913072890862257,7740.12798266517,100,7.74012798266517,2023-09-16 11:00:00,7732.387854682504,0.2913072890862257,0.0
sell,45,26538.64,long,0.2913072890862257,7740.12798266517,100,7.730897784364957,2023-09-16 21:00:00,7723.166886580591,0.0,0.0
sell,46,26538.64,short,0.2910159257060871,7723.166886580591,100,0.0002910159257060871,2023-09-16 21:00:00,7723.166886580591,0.0,0.2910159257060871
buy,46,26520.02,short,0.2910159257060871,7723.166886580591,100,7.728585603117239,2023-09-17 02:00:00,7720.857017514121,0.0,0.0
buy,47,26520.02,long,0.2908420189915621,7720.857017514121,100,7.720857017514121,2023-09-17 02:00:00,7713.136160496607,0.2908420189915621,0.0
sell,47,26560.99,long,0.2908420189915621,7720.857017514121,100,7.725063885739935,2023-09-17 08:00:00,7717.338821854195,0.0,0.0
sell,48,26560.99,short,0.2905516255928034,7717.338821854195,100,0.0002905516255928034,2023-09-17 08:00:00,7717.338821854195,0.0,0.2905516255928034
buy,48,26504.65,short,0.2905516255928034,7717.338821854195,100,7.733708500440094,2023-09-17 18:00:00,7725.974791939653,0.0,0.0
buy,49,26504.65,long,0.2912035743595072,7725.974791939653,100,7.725974791939653,2023-09-17 18:00:00,7718.248817147713,0.2912035743595072,0.0
sell,49,26657.42,long,0.2912035743595072,7725.974791939653,100,7.762780518904372,2023-09-18 04:00:00,7755.017738385468,0.0,0.0
sell,50,26657.42,short,0.2909140396326977,7755.017738385468,100,0.0002909140396326977,2023-09-18 04:00:00,7755.017738385468,0.0,0.2909140396326977
buy,50,26835.34,short,0.2909140396326977,7755.017738385468,100,7.703258312454019,2023-09-18 22:00:00,7695.555054141565,0.0,0.0
buy,51,26835.34,long,0.28648265679091167,7695.555054141565,100,7.695555054141566,2023-09-18 22:00:00,7687.8594990874235,0.28648265679091167,0.0
sell,51,27072.25,long,0.28648265679091167,7695.555054141565,100,7.755798043852523,2023-09-19 09:00:00,7748.0422458086705,0.0,0.0
sell,52,27072.25,short,0.28619868115168373,7748.0422458086705,100,0.00028619868115168376,2023-09-19 09:00:00,7748.0422458086705,0.0,0.28619868115168373
buy,52,27096.01,short,0.28619868115168373,7748.0422458086705,100,7.741242165144508,2023-09-20 05:00:00,7733.500922979363,0.0,0.0
buy,53,27096.01,long,0.28512564846471433,7733.500922979363,100,7.733500922979363,2023-09-20 05:00:00,7725.767422056384,0.28512564846471433,0.0
